LENGTH,TIME-TAKEN
0,0.15699899196624756,
5000,345.5555399656296,
10000,191.25789403915405,
15000,417.5131460428238,
20000,737.9818279743195,
25000,1153.2365700006485,
30000,1634.6059069633484,
35000,2233.4882159233093,
40000,2922.2544679641724,
45000,3709.552085995674,
50000,4711.143173933029,
55000,5565.3590359687805,
60000,6865.597923994064,
65000,7720.683342933655,
70000,9013.377909064293,
75000,10412.110283970833,
80000,11761.391047000885,
85000,13181.993903040886,
90000,14710.073760986328,
95000,16401.58298099041,
