LENGTH,TIME-TAKEN
0,0.017227590084075928,
250,3.1454651713371278,
500,15.368486499786377,
750,26.708203423023225,
1000,43.51184852123261,
1250,70.57963720560073,
1500,101.3326268196106,
1750,147.50271691083907,
2000,208.76430280208587,
2250,245.66250128746032,
2500,314.74442052841187,
2750,408.1410490870476,
3000,571.794985806942,
3250,591.4125518798828,
3500,715.8338708877563,
3750,848.7650040984154,
4000,985.0709081888199,
4250,1144.4165952205658,
4500,1419.2843589067459,
4750,1446.9092158794404,
5000,2133.1359719991683,
5250,2229.142013311386,
5500,3500.0689267992975,
5750,3854.306381392479,
6000,4779.229533100128,
6250,7173.738515007496,
