LENGTH,TIME-TAKEN
5000,4.5574049949646,
10000,4.013329982757568,
15000,3.3503230810165405,
20000,3.3698750734329224,
25000,4.3221070766448975,
30000,6.018159031867981,
35000,7.508955955505371,
40000,7.292752027511597,
45000,8.413563966751099,
50000,9.339951992034912,
55000,10.121804118156433,
60000,11.187810063362122,
65000,12.066753029823303,
70000,17.742130994796753,
75000,18.085572004318237,
80000,21.239965081214905,
85000,18.6768399477005,
90000,18.212948083877563,
95000,19.84288203716278,
100000,18.84245002269745,
105000,20.722095012664795,
110000,21.081188917160034,
115000,32.992192029953,
120000,23.68283998966217,
125000,26.129711031913757,
130000,27.162166953086853,
135000,28.990964889526367,
140000,29.852527022361755,
145000,29.289613008499146,
150000,35.776273012161255,
155000,34.27664303779602,
160000,35.39140295982361,
165000,37.78497898578644,
170000,40.22258698940277,
175000,35.72475802898407,
180000,36.73952305316925,
185000,39.73455095291138,
190000,41.60170292854309,
195000,40.58525896072388,
200000,43.74042797088623,
