LENGTH,TIME-TAKEN
2500,5.598610000684857,
5000,4.734001999720931,
7500,4.172010000795126,
10000,3.6553550008684397,
12500,3.853356000036001,
15000,4.910344999283552,
17500,5.7139389999210835,
20000,6.241924999281764,
22500,10.321183001622558,
25000,9.42523100040853,
27500,9.201153999194503,
30000,10.156283000484109,
32500,11.069472000002861,
35000,11.548427999019623,
37500,13.411927999928594,
40000,13.992174999788404,
42500,15.190146001055837,
45000,16.62631499953568,
47500,18.330477999523282,
50000,19.41982699930668,
52500,22.84586999937892,
55000,21.505163999274373,
57500,23.252833999693394,
60000,26.58339500054717,
62500,26.52002700045705,
65000,25.694438001140952,
67500,27.307769000530243,
70000,30.149654000997543,
72500,31.56917699985206,
75000,27.66894800029695,
77500,29.956489000469446,
80000,31.556963000446558,
82500,32.55403200164437,
85000,32.838353000581264,
87500,33.2009650003165,
90000,37.53526099957526,
92500,38.2869960013777,
95000,40.635230001062155,
97500,40.2749489992857,
100000,38.09573500044644,
